serial_number,element_id,model_number,ai_decision,human_decision
RTD-2026-00001,ELEM-00001,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00002,ELEM-00002,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00003,ELEM-00003,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00004,ELEM-00004,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00005,ELEM-00005,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00006,ELEM-00006,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00007,ELEM-00007,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00008,ELEM-00008,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00009,ELEM-00009,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00010,ELEM-00010,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00011,ELEM-00011,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00012,ELEM-00012,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00013,ELEM-00013,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00014,ELEM-00014,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00015,ELEM-00015,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00016,ELEM-00016,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00017,ELEM-00017,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00018,ELEM-00018,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00019,ELEM-00019,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00020,ELEM-00020,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00021,ELEM-00021,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00022,ELEM-00022,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00023,ELEM-00023,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00024,ELEM-00024,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00025,ELEM-00025,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00026,ELEM-00026,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00027,ELEM-00027,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00028,ELEM-00028,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00029,ELEM-00029,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00030,ELEM-00030,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00031,ELEM-00031,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00032,ELEM-00032,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00033,ELEM-00033,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00034,ELEM-00034,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00035,ELEM-00035,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00036,ELEM-00036,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00037,ELEM-00037,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00038,ELEM-00038,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00039,ELEM-00039,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00040,ELEM-00040,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00041,ELEM-00041,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00042,ELEM-00042,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00043,ELEM-00043,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00044,ELEM-00044,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00045,ELEM-00045,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00046,ELEM-00046,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00047,ELEM-00047,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00048,ELEM-00048,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00049,ELEM-00049,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00050,ELEM-00050,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00051,ELEM-00051,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00052,ELEM-00052,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00053,ELEM-00053,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00054,ELEM-00054,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00055,ELEM-00055,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00056,ELEM-00056,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00057,ELEM-00057,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00058,ELEM-00058,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00059,ELEM-00059,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00060,ELEM-00060,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00061,ELEM-00061,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00062,ELEM-00062,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00063,ELEM-00063,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00064,ELEM-00064,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00065,ELEM-00065,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00066,ELEM-00066,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00067,ELEM-00067,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00068,ELEM-00068,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00069,ELEM-00069,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00070,ELEM-00070,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00071,ELEM-00071,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00072,ELEM-00072,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00073,ELEM-00073,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00074,ELEM-00074,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00075,ELEM-00075,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00076,ELEM-00076,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00077,ELEM-00077,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00078,ELEM-00078,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00079,ELEM-00079,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00080,ELEM-00080,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00081,ELEM-00081,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00082,ELEM-00082,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00083,ELEM-00083,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00084,ELEM-00084,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00085,ELEM-00085,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00086,ELEM-00086,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00087,ELEM-00087,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00088,ELEM-00088,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00089,ELEM-00089,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00090,ELEM-00090,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00091,ELEM-00091,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00092,ELEM-00092,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00093,ELEM-00093,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00094,ELEM-00094,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00095,ELEM-00095,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00096,ELEM-00096,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00097,ELEM-00097,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00098,ELEM-00098,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00099,ELEM-00099,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00100,ELEM-00100,0068P41AAZAZ,ACCEPT,ACCEPT
